"","ID","Vehicles"
"1",20170701001,75
"2",20170701011,62
"3",20170701021,54
"4",20170701031,47
"5",20170701041,41
"6",20170701051,39
"7",20170701061,41
"8",20170701071,46
"9",20170701081,52
"10",20170701091,62
"11",20170701101,76
"12",20170701111,86
"13",20170701121,89
"14",20170701131,81
"15",20170701141,87
"16",20170701151,88
"17",20170701161,86
"18",20170701171,86
"19",20170701181,88
"20",20170701191,93
"21",20170701201,92
"22",20170701211,88
"23",20170701221,87
"24",20170701231,82
"25",20170702001,80
"26",20170702011,66
"27",20170702021,58
"28",20170702031,50
"29",20170702041,44
"30",20170702051,42
"31",20170702061,44
"32",20170702071,50
"33",20170702081,56
"34",20170702091,66
"35",20170702101,81
"36",20170702111,92
"37",20170702121,96
"38",20170702131,87
"39",20170702141,93
"40",20170702151,94
"41",20170702161,91
"42",20170702171,92
"43",20170702181,94
"44",20170702191,99
"45",20170702201,99
"46",20170702211,94
"47",20170702221,93
"48",20170702231,88
"49",20170703001,78
"50",20170703011,64
"51",20170703021,56
"52",20170703031,48
"53",20170703041,43
"54",20170703051,40
"55",20170703061,42
"56",20170703071,48
"57",20170703081,54
"58",20170703091,64
"59",20170703101,79
"60",20170703111,89
"61",20170703121,93
"62",20170703131,84
"63",20170703141,90
"64",20170703151,91
"65",20170703161,89
"66",20170703171,89
"67",20170703181,91
"68",20170703191,96
"69",20170703201,96
"70",20170703211,91
"71",20170703221,90
"72",20170703231,85
"73",20170704001,74
"74",20170704011,61
"75",20170704021,53
"76",20170704031,46
"77",20170704041,40
"78",20170704051,38
"79",20170704061,40
"80",20170704071,46
"81",20170704081,51
"82",20170704091,60
"83",20170704101,74
"84",20170704111,84
"85",20170704121,88
"86",20170704131,79
"87",20170704141,85
"88",20170704151,86
"89",20170704161,84
"90",20170704171,84
"91",20170704181,86
"92",20170704191,91
"93",20170704201,91
"94",20170704211,86
"95",20170704221,85
"96",20170704231,80
"97",20170705001,74
"98",20170705011,61
"99",20170705021,53
"100",20170705031,46
"101",20170705041,40
"102",20170705051,38
"103",20170705061,40
"104",20170705071,46
"105",20170705081,51
"106",20170705091,61
"107",20170705101,75
"108",20170705111,84
"109",20170705121,88
"110",20170705131,80
"111",20170705141,86
"112",20170705151,86
"113",20170705161,84
"114",20170705171,84
"115",20170705181,86
"116",20170705191,91
"117",20170705201,91
"118",20170705211,87
"119",20170705221,86
"120",20170705231,81
"121",20170706001,75
"122",20170706011,62
"123",20170706021,54
"124",20170706031,47
"125",20170706041,41
"126",20170706051,39
"127",20170706061,41
"128",20170706071,46
"129",20170706081,52
"130",20170706091,61
"131",20170706101,76
"132",20170706111,85
"133",20170706121,89
"134",20170706131,81
"135",20170706141,87
"136",20170706151,87
"137",20170706161,85
"138",20170706171,85
"139",20170706181,87
"140",20170706191,93
"141",20170706201,92
"142",20170706211,88
"143",20170706221,87
"144",20170706231,82
"145",20170707001,76
"146",20170707011,62
"147",20170707021,54
"148",20170707031,47
"149",20170707041,41
"150",20170707051,39
"151",20170707061,41
"152",20170707071,47
"153",20170707081,53
"154",20170707091,62
